place,longitude,latitude,type
Stadhuis op de Dam (Amsterdam),4.89139,52.373152,state
Dam (Amsterdam),4.893193,52.372934,public
Oude Stadhuis (Amsterdam),4.89139,52.373152,state
Amsterdam,,,
Nieuwe Kerk (Amsterdam),4.891801,52.373929,church
Schouwburg Keizersgracht (Amsterdam),4.884189,52.36928,street
Waag op de Dam (Amsterdam),4.900298,52.372807,commerce
Beurs van Hendrik de Keyser (Amsterdam),4.896101,52.375208,state
Oude Kerk (Amsterdam),4.898207,52.374367,church
Herengracht (Amsterdam),,,
Portugese Synagoge (Amsterdam),4.904558,52.36763,synagogue
Kloveniersdoelen (Amsterdam),4.895716,52.368171,commerce
Haarlemmerpoort (Amsterdam),4.883071,52.384968,gate
Swygh Utrecht (Amsterdam),4.895756,52.368196,military
Koninklijk Paleis (Amsterdam),4.89139,52.373152,state
Kloveniersburgwal (Amsterdam),4.898045,52.369923,commerce
Zuiderkerk (Amsterdam),4.899846,52.370145,church
Westerkerk (Amsterdam),4.88397,52.374534,church
Singel (Amsterdam),,,canal
Nieuwmarkt (Amsterdam),4.899471,52.372239,public
Waag op de Nieuwmarkt (Amsterdam),4.900157,52.372808,commerce
Waalse Kerk (Amsterdam),4.897241,52.371041,church
Noorderkerk (Amsterdam),4.886132,52.37977,church
Sloten (Amsterdam),4.886132,52.37977,street
Montelbaanstoren (Amsterdam),4.905616,52.372054,military
Leidsegracht (Amsterdam),4.883311,52.366388,street
Nieuwezijds Voorburgwal (Amsterdam),4.890718,52.373041,street
Nieuwe Lutherse Kerk (Amsterdam),4.889075,52.368243,church
"Trippenhuis, het (Amsterdam)",4.899442,52.371331,hospital
Binnen-Amstel (Amsterdam),,,
Rokin (Amsterdam),4.892639,52.370741,street
Amstel,,,
Nieuwezijds Kapel (Amsterdam),4.891862,52.370227,church
Haringpakkerstoren (Amsterdam),4.895278,52.379167,military
Oosterkerk (Amsterdam),4.919568,52.369982,church
Regulierspoort (Amsterdam),4.893248,52.36705,gate
Hoogduitse Synagoge (Amsterdam),4.903815,52.367118,synagogue
IJ,,,
Oude Schans (Amsterdam),4.902496,52.370162,canal
Sint-Antoniespoort (Amsterdam),4.900278,52.372778,gate
"Omval, De (Amsterdam)",4.91903,52.336341,public
Hortus Medicus (Amsterdam),4.898437683,52.36406257,public
Damrak (Amsterdam),4.895981,52.375292,canal
Westertoren (Amsterdam),4.883512,52.374562,military
Muiderpoort (Amsterdam),4.931234,52.360925,gate
Schreierstoren (Amsterdam),4.90238,52.376415,military
Oudezijds Voorburgwal (Amsterdam),4.896574,52.372215,street
Lauriergracht (Amsterdam),4.879923,52.371178,canal
Vianen,5.103033,51.990276,
Elandsstraat (Amsterdam),4.880192,52.370329,street
's Lands Zeemagazijn (Amsterdam),4.914826,52.371666,military
Elandsgracht (Amsterdam),4.881069,52.369624,canal
Oude Lutherse Kerk (Amsterdam),4.889167,52.368056,church
Leprozenhuis (Amsterdam),4.902892172,52.36873663,hospital
Remonstrantse Kerk (Amsterdam),,,
Kamperhoofd (Amsterdam),,,
Voetboogdoelen (Amsterdam),4.889444,52.367778,military
Oost-Indisch Huis (Amsterdam),4.898119,52.371133,commerce
Oudezijds Heerenlogement (Amsterdam),4.894655,52.369051,military
Overtoom (Amsterdam),,,
Blauwbrug (Amsterdam),4.901774,52.366547,bridge
Utrecht,,,
Burgerweeshuis (Amsterdam),4.890589,52.370422,hospital
Zaagmolenpoort (Amsterdam),,,
Dolhuis (Amsterdam),4.870578,52.362672,hospital
Weteringpoort (Amsterdam),4.890955,52.359343,gate
Jan Roodenpoortstoren (Amsterdam),4.889722,52.374444,gate
Oudekerksplein (Amsterdam),4.897922,52.373981,public
Oudezijds Achterburgwal (Amsterdam),,,
Geldersekade (Amsterdam),4.90135,52.37362,street
Theatrum Anatomicum (Amsterdam),4.900278,52.372778,hospital
Doopsgezinde Kerk Bij 't Lam (Amsterdam),,,
Oostenburg (Amsterdam),4.926208,52.370439,street
Nieuwe Herengracht (Amsterdam),,,
Looiersgracht (Amsterdam),4.880786,52.368424,canal
Oudezijds Huiszittenhuis (Amsterdam),4.903333,52.3675,hospital
Admiraliteitswerf (Amsterdam),4.914866,52.371694,military
Admiraliteitsmagazijn (Amsterdam),4.914866,52.371694,military
Grote Vismarkt (Amsterdam),,,
Oude Nieuwstraat (Amsterdam),4.892327,52.376528,street
Spinhuis (Amsterdam),4.896475,52.370556,hospital
Munttoren (Amsterdam),4.893248,52.36705,military
Heiligewegspoort (Amsterdam),4.889914,52.367372,gate
Muidergracht (Amsterdam),4.913056,52.364167,gate
Vlooienburg (Amsterdam),4.901438,52.367016,island
Karthuizerklooster (Amsterdam),4.883052,52.378303,church
Handboogdoelen (Amsterdam),4.889444,52.367778,military
Kalverstraat (Amsterdam),4.89113,52.369524,street
Nes (Amsterdam),4.893333,52.370833,street
Nieuwe Brug (Amsterdam),4.898897,52.376881,bridge
Hotel Het Rondeel (Amsterdam),4.894444,52.3675,commerce
Oost-Indisch Zeemagazijn (Amsterdam),4.898119,52.371133,commerce
Botermarkt (Amsterdam),4.896418,52.366406,commerce
Doopsgezinde Kerk Bij de Tooren (Amsterdam),,,
Hofstede de Morgenstond (Amstelveen),,,
Amsteldijk (Amsterdam),4.902524,52.36321,public
Keizersgracht (Amsterdam),,,
Aalmoezeniersweeshuis (Amsterdam),4.883056,52.365556,hospital
Utrechtsepoort (Amsterdam),4.899668,52.358775,gate
Amstelkerk (Amsterdam),4.897115,52.362153,church
Reguliersklooster (Amsterdam),4.894614,52.366618,church
Doopsgezinde Kerk De Zon (Amsterdam),,,
Maagdenhuis (Amsterdam),4.89,52.368611,hospital
Oostindisch Zeemagazijn (Amsterdam),4.898119,52.371133,commerce
Goudsbloemstraat (Amsterdam),4.883924,52.380684,street
West-Indisch Huis (Amsterdam),4.891889,52.38,commerce
Raampoort (Amsterdam),4.875278,52.373889,gate
Oudezijdskapel (Amsterdam),4.89995,52.37614,church
Hogesluis (Amsterdam),4.903889,52.360278,canal
Sint-Elisabethsgasthuis (Amsterdam),,,
Appelmarkt (Amsterdam),4.888488209,52.36992201,commerce
Leidsepoort (Amsterdam),4.882403,52.363428,gate
Torensluis (Amsterdam),4.889444,52.374444,canal
Noordermarkt (Amsterdam),4.886111,52.379167,commerce
Eenhoornsluis (Amsterdam),4.889378,52.381414,canal
Herberg het Moolentje (Amsterdam),4.899668,52.358775,
Zeerecht (Amsterdam),4.9,52.378333,canal
Bickerseiland (Amsterdam),4.886964,52.3857,island
