id,title,dating.year,dating.yearEarly,dating.yearLate,objectTypes.0,principalMakers.0.name,principalMakers.1.name,principalMakers.2.name,principalMakers.3.name,productionPlaces.0,description,webImage.url,classification.places.0,classification.places.1,classification.places.2,classification.places.3,classification.places.5,classification.places.6,classification.places.7,classification.places.8
"en-BI-B-FM-035-35","Actionisten onderweg naar Vianen, 1720",1720,1720,1720,"prent","anoniem",,,,"Noordelijke Nederlanden","Een wagen met Actionisten verlaat Amsterdam bij de Muiderpoort en rijdt richting Vianen en Culemborg. De reiswagen wordt gemend door een nar, op het dak rijdt een aap met een vaandel met Bombario, de paarden worden geleid door een duivel. In en om de wagen actionisten of windhandelaren. In het onderschrift een tekst in drie verzen. Prent in de gebonden eerste uitgave (304 B 10) van Het Groote Tafereel der Dwaasheid met spotprenten op de Windhandel of Actiehandel van 1720.",,"Culemborg","Vianen","Muiderpoort (Amsterdam)",,,,,
"en-BI-B-FM-035-5","Wanhopige handelaren in de beurs van Amsterdam, 1720",1720,1720,1720,"prent","anoniem",,,,"Noordelijke Nederlanden","Wanhopige handelaren, slachtoffers van de windhandel, op de binnenplaats van de beurs van Amsterdam, 1720. In het midden hangt een lijst met de producten van de windnegotie. In het onderschrift een vers in drie kolommen door I. Bombarie. Prent in de gebonden eerste uitgave (304 B 10) van Het Groote Tafereel der Dwaasheid met spotprenten op de Windhandel of Actiehandel van 1720.",,"Beurs van Hendrik de Keyser (Amsterdam)",,,,,,,
"en-BI-B-FM-035-7","Wanhopige handelaren in de beurs van Amsterdam, 1720",1720,1720,1720,"prent","anoniem",,,,"Noordelijke Nederlanden","Wanhopige handelaren, slachtoffers van de windhandel, op de binnenplaats van de beurs van Amsterdam, 1720. In het midden hangt een lijst met de producten van de windnegotie. In het onderschrift een vers in drie kolommen door Bombario. Prent in de gebonden eerste uitgave (304 B 10) van Het Groote Tafereel der Dwaasheid met spotprenten op de Windhandel of Actiehandel van 1720.",,"Beurs van Hendrik de Keyser (Amsterdam)",,,,,,,
"en-BI-B-FM-035-9","Op- en Ondergang van de Actionisten, 1720",1720,1720,1720,"prent","anoniem",,,,"Noordelijke Nederlanden","Op- en Ondergang van de Actionisten. Blad met verschillende voorstellingen over de onrust ten gevolge van de Windhandel van 1720. Centraal onderaan Quinquempoix: een menigte slachtoffers van de windhandel verzameld op de Dam bij de Kalverstraat, daarboven Het Thuilleriece Hof: paniek in de Parijse Tuilerieën. Bovenaan een portret van John Law een briefje met Mississippi in de hand, met een aap en een wolf die een schaap bijt.  Linksboven koopvaart, rechtsboven graafwerkzaamheden voor het Utrechtse kanaal. In het onderschrift een vers in zeven kolommen. Prent in de gebonden eerste uitgave (304 B 10) van Het Groote Tafereel der Dwaasheid met spotprenten op de Windhandel of Actiehandel van 1720.",,"Jardin des Tuileries (Parijs)","Dam (Amsterdam)","Utrecht",,,,,
"en-BI-B-FM-076-36","Actionisten onderweg naar Vianen, 1720",1720,1720,1720,"prent","anoniem",,,,"Noordelijke Nederlanden","Een wagen met Actionisten verlaat Amsterdam bij de Muiderpoort en rijdt richting Vianen en Culemborg. De reiswagen wordt gemend door een nar, op het dak rijdt een aap met een vaandel met Bombario, de paarden worden geleid door een duivel. In en om de wagen actionisten of windhandelaren. In het onderschrift een tekst in drie verzen. Prent in de gebonden vierde uitgave (304 B 12) van Het Groote Tafereel der Dwaasheid met spotprenten op de Windhandel of Actiehandel van 1720.",,"Culemborg","Vianen","Muiderpoort (Amsterdam)",,,,,
"en-BI-B-FM-076-7","Wanhopige handelaren in de beurs van Amsterdam, 1720",1720,1720,1720,"prent","anoniem",,,,"Noordelijke Nederlanden","Wanhopige handelaren, slachtoffers van de windhandel, op de binnenplaats van de beurs van Amsterdam, 1720. In het midden hangt een lijst met de producten van de windnegotie. In het onderschrift een vers in drie kolommen door Bombario. Prent in de gebonden vierde uitgave (304 B 12) van Het Groote Tafereel der Dwaasheid met spotprenten op de Windhandel of Actiehandel van 1720.",,"Beurs van Hendrik de Keyser (Amsterdam)",,,,,,,
"en-BI-B-FM-076-9","Op- en Ondergang van de Actionisten, 1720",1720,1720,1720,"prent","anoniem",,,,"Noordelijke Nederlanden","Op- en Ondergang van de Actionisten. Blad met verschillende voorstellingen over de onrust ten gevolge van de Windhandel van 1720. Centraal onderaan Quinquempoix: een menigte slachtoffers van de windhandel verzameld op de Dam bij de Kalverstraat, daarboven Het Thuilleriece Hof: paniek in de Parijse Tuilerieën. Bovenaan een portret van John Law een briefje met Mississippi in de hand, met een aap en een wolf die een schaap bijt.  Linksboven koopvaart, rechtsboven graafwerkzaamheden voor het Utrechtse kanaal. In het onderschrift een vers in zeven kolommen. Prent in de gebonden vierde uitgave (304 B 12) van Het Groote Tafereel der Dwaasheid met spotprenten op de Windhandel of Actiehandel van 1720.",,"Jardin des Tuileries (Parijs)","Dam (Amsterdam)","Utrecht",,,,,
"en-BI-B-FM-077-37","Actionisten onderweg naar Vianen, 1720",1720,1720,1720,"prent","anoniem",,,,"Noordelijke Nederlanden","Een wagen met Actionisten verlaat Amsterdam bij de Muiderpoort en rijdt richting Vianen en Culemborg. De reiswagen wordt gemend door een nar, op het dak rijdt een aap met een vaandel met Bombario, de paarden worden geleid door een duivel. In en om de wagen actionisten of windhandelaren. In het onderschrift een tekst in drie verzen. Prent in de gebonden vierde uitgave (304 B 11) van Het Groote Tafereel der Dwaasheid met spotprenten op de Windhandel of Actiehandel van 1720.",,"Culemborg","Vianen","Muiderpoort (Amsterdam)",,,,,
"en-BI-B-FM-077-7","Wanhopige handelaren in de beurs van Amsterdam, 1720",1720,1720,1720,"prent","anoniem",,,,"Noordelijke Nederlanden","Wanhopige handelaren, slachtoffers van de windhandel, op de binnenplaats van de beurs van Amsterdam, 1720. In het midden hangt een lijst met de producten van de windnegotie. In het onderschrift een vers in drie kolommen door Bombario. Prent in de gebonden eerste uitgave (304 B 11) van Het Groote Tafereel der Dwaasheid met spotprenten op de Windhandel of Actiehandel van 1720.",,"Beurs van Hendrik de Keyser (Amsterdam)",,,,,,,
"en-BI-B-FM-077-8","Wanhopige handelaren in de beurs van Amsterdam, 1720",1720,1720,1720,"prent","anoniem",,,,"Noordelijke Nederlanden","Wanhopige handelaren, slachtoffers van de windhandel, op de binnenplaats van de beurs van Amsterdam, 1720. In het midden hangt een lijst met de producten van de windnegotie. In het onderschrift een vers in drie kolommen door I. Bombarie. Prent in de gebonden eerste uitgave (304 B 11) van Het Groote Tafereel der Dwaasheid met spotprenten op de Windhandel of Actiehandel van 1720.",,"Beurs van Hendrik de Keyser (Amsterdam)",,,,,,,
